plan_type,billing_cycle,industry,region,monthly_fee,num_seats,tenure_months,support_tickets_last_90d,days_since_last_login,feature_adoption_score,nps_score,late_payments_last_12m,churn
growth,monthly,edtech,north_america,2179.08,405,68,6,10,0.5180417294943365,28.54193778200655,0,0
starter,annual,edtech,north_america,1218.43,334,45,4,37,0.62056164719338,30.687989547455523,1,0
enterprise,annual,healthcare,north_america,1351.41,95,67,2,4,0.5112200340319467,-7.256638321569774,2,0
growth,monthly,fintech,europe,1332.66,448,17,3,11,0.5968624232093838,7.641506418016668,3,0
starter,monthly,healthcare,latam,1338.96,446,23,6,42,0.6080795658759444,35.308525944703625,0,1
enterprise,monthly,fintech,north_america,1284.78,21,8,3,9,0.5061720897863755,25.746763724960687,0,0
growth,annual,retail,north_america,408.13,14,57,1,21,0.7678257524286031,28.401204311743726,0,0
growth,annual,logistics,europe,803.75,112,61,2,39,0.868456721849674,28.636370843942988,2,1
starter,annual,healthcare,north_america,722.64,357,24,4,38,0.4132032470124427,25.210892038649703,2,1
growth,monthly,healthcare,north_america,1152.64,270,32,1,13,0.6591168800187829,9.622690131819311,0,0
starter,monthly,edtech,north_america,1036.46,232,48,2,11,0.3626846805750309,38.43820424112549,2,0
enterprise,monthly,retail,north_america,1962.94,188,63,2,26,0.3045095099560706,35.884413090401445,1,0
growth,monthly,fintech,europe,1177.54,217,26,5,14,0.8065775478926457,6.873861315117292,0,0
growth,annual,fintech,europe,1268.63,287,41,0,33,0.9813330196644555,37.95366308969125,0,0
starter,monthly,logistics,north_america,146.61,31,16,3,30,0.5608942935241121,13.037471365345441,2,1
starter,monthly,fintech,europe,1089.25,265,68,3,18,0.9499935153116973,43.67413619442497,1,0
growth,monthly,edtech,north_america,606.2,101,73,3,18,0.5033239508692579,26.963921141465004,2,0
starter,monthly,edtech,europe,1132.01,355,62,2,4,0.5777928752539818,37.460785682610826,0,0
growth,monthly,healthcare,north_america,699.07,90,68,2,31,0.9201923952373114,32.224487168022705,1,1
growth,monthly,edtech,north_america,465.08,34,64,3,41,0.4557204822046428,26.648263681824275,1,1
growth,annual,fintech,europe,985.2,197,70,3,39,0.7850022402570856,35.84957725703686,0,0
starter,annual,healthcare,europe,720.36,199,36,0,29,0.5573100452737213,48.2108155793268,1,1
enterprise,annual,healthcare,europe,2266.88,234,18,4,32,0.49027302091281094,30.89196432184141,0,1
enterprise,annual,logistics,latam,2546.5,387,80,3,40,0.5284151925983239,30.50233587127734,1,1
growth,annual,healthcare,europe,1602.18,315,1,0,9,0.22970610522344687,19.50700152889933,1,0
starter,monthly,fintech,latam,408.47,165,34,3,34,0.846996142433792,-15.648443670155142,0,1
growth,monthly,logistics,north_america,1637.66,327,61,4,4,0.6607340355753002,28.809951920734296,0,0
starter,monthly,fintech,latam,493.05,228,66,2,34,0.5933601169750015,-2.3918827108793224,0,0
starter,monthly,logistics,latam,571.41,103,57,5,9,0.49527022471485965,14.417244736794967,2,1
growth,monthly,edtech,latam,367.5,12,41,4,26,0.6761196898730809,7.215587095108706,3,1
growth,monthly,retail,europe,366.91,4,77,3,0,0.7790211629950383,10.778291551758564,3,0
enterprise,annual,edtech,latam,1572.55,103,20,1,0,0.5705819174659977,12.275619810669543,1,0
starter,monthly,edtech,north_america,1696.18,369,12,5,29,0.7934461596570191,39.65279273785756,2,0
starter,monthly,fintech,north_america,619.47,210,53,3,39,0.6695179276830633,35.98592140616217,2,1
growth,monthly,logistics,europe,1083.88,204,27,6,4,0.6031915878760304,30.662943653039818,1,0
starter,monthly,logistics,north_america,981.71,181,39,5,37,0.7842252930304214,57.026824271890774,2,0
starter,annual,logistics,europe,374.01,117,38,3,33,0.5285752652049129,100.0,2,1
growth,monthly,edtech,north_america,865.27,322,22,3,32,0.394724206371079,40.17873656472538,0,1
starter,annual,retail,north_america,135.1,8,83,3,12,0.6104439213615256,49.793499505210654,3,0
growth,annual,retail,europe,1539.77,276,32,1,39,0.6263501747130408,34.728063281874334,0,0
starter,monthly,fintech,north_america,983.36,421,56,0,27,0.5799819945197857,43.55050419544032,0,1
growth,monthly,retail,europe,1484.65,396,14,4,8,0.8341810647073753,-10.984305540032754,0,1
growth,monthly,edtech,north_america,881.37,168,83,5,39,0.7100886376702059,-36.910497832153325,3,0
starter,monthly,edtech,latam,736.46,385,82,1,12,0.5992885312378065,-22.736469800931808,1,1
growth,monthly,healthcare,latam,678.64,109,6,2,22,0.6190083080932957,13.009869772868438,1,1
growth,annual,retail,europe,555.33,110,54,2,7,0.6345133134280228,60.80480924119911,0,0
starter,monthly,edtech,north_america,952.88,156,50,3,17,0.7146894841288588,34.12861378186977,0,0
starter,annual,retail,north_america,153.27,10,15,0,29,0.6294561862858831,18.62417006722103,0,0
growth,monthly,logistics,latam,804.72,121,64,3,40,0.592196757359299,41.666587116565445,2,1
starter,annual,edtech,europe,1411.3,384,64,3,19,0.3798432936565172,36.4748351085401,2,0
starter,monthly,fintech,europe,1938.87,343,71,0,27,0.49223674978870785,-4.523694347205826,1,0
starter,monthly,fintech,europe,724.47,150,50,4,4,0.6698602902172714,39.25340721175589,1,0
growth,monthly,edtech,latam,637.16,142,59,2,10,0.653840775580632,47.97591447620153,2,0
growth,monthly,retail,latam,720.16,158,60,3,25,0.3526403679329313,78.41950793762996,0,0
growth,annual,logistics,europe,579.83,56,64,2,1,0.5188549042337601,26.091026276897896,1,0
