date,channel,sku,unit_price,is_promo,is_holiday,avg_temp_c,rainfall_mm,demand_units
2022-01-01,site,SKU_01,473.6,1,1,23.35,11.3,169.0
2022-01-02,site,SKU_01,473.6,0,0,24.82,13.71,136.0
2022-01-03,site,SKU_01,473.6,0,0,24.2,10.1,159.0
2022-01-04,site,SKU_01,473.6,0,0,25.06,11.88,188.0
2022-01-05,site,SKU_01,473.6,0,0,25.8,11.64,197.0
2022-01-06,site,SKU_01,473.6,0,0,24.68,12.77,179.0
2022-01-07,site,SKU_01,473.6,0,0,27.7,11.06,142.0
2022-01-08,site,SKU_01,473.6,1,0,25.07,14.43,146.0
2022-01-09,site,SKU_01,473.6,0,0,22.6,13.36,133.0
2022-01-10,site,SKU_01,473.6,0,0,23.0,12.42,162.0
2022-01-11,site,SKU_01,473.6,0,0,25.89,12.38,191.0
2022-01-12,site,SKU_01,473.6,0,0,24.96,13.26,196.0
2022-01-13,site,SKU_01,473.6,0,0,23.71,10.45,185.0
2022-01-14,site,SKU_01,473.6,0,0,23.11,13.96,142.0
2022-01-15,site,SKU_01,473.6,0,0,25.08,13.09,127.0
2022-01-16,site,SKU_01,473.6,0,0,24.27,10.76,131.0
2022-01-17,site,SKU_01,473.6,1,0,22.72,9.25,200.0
2022-01-18,site,SKU_01,473.6,0,0,25.39,13.23,190.0
2022-01-19,site,SKU_01,473.6,0,0,26.37,11.0,196.0
2022-01-20,site,SKU_01,473.6,0,0,24.71,10.81,180.0
2022-01-21,site,SKU_01,473.6,0,0,24.63,11.64,147.0
2022-01-22,site,SKU_01,473.6,0,0,26.78,11.36,124.0
2022-01-23,site,SKU_01,473.6,1,0,22.66,8.35,157.0
2022-01-24,site,SKU_01,473.6,0,0,26.53,9.5,168.0
2022-01-25,site,SKU_01,473.6,0,0,25.28,13.08,188.0
2022-01-26,site,SKU_01,473.6,0,0,24.32,10.66,190.0
2022-01-27,site,SKU_01,473.6,0,0,26.92,11.89,170.0
2022-01-28,site,SKU_01,473.6,0,0,26.37,10.15,145.0
2022-01-29,site,SKU_01,473.6,1,0,29.23,10.74,151.0
2022-01-30,site,SKU_01,473.6,0,0,26.85,14.21,131.0
2022-01-31,site,SKU_01,473.6,0,0,29.19,8.55,158.0
2022-02-01,site,SKU_01,477.03,0,0,25.96,8.08,191.0
2022-02-02,site,SKU_01,477.03,0,0,24.12,8.82,202.0
2022-02-03,site,SKU_01,477.03,0,0,30.46,17.41,167.0
2022-02-04,site,SKU_01,477.03,0,0,23.13,11.53,141.0
2022-02-05,site,SKU_01,477.03,0,0,25.96,10.58,124.0
2022-02-06,site,SKU_01,477.03,1,0,26.88,8.55,158.0
2022-02-07,site,SKU_01,477.03,0,0,27.16,14.65,161.0
2022-02-08,site,SKU_01,477.03,1,0,26.45,8.09,229.0
2022-02-09,site,SKU_01,477.03,0,0,31.28,8.83,193.0
2022-02-10,site,SKU_01,477.03,0,0,29.21,11.42,175.0
2022-02-11,site,SKU_01,477.03,1,0,26.45,11.48,168.0
2022-02-12,site,SKU_01,477.03,0,0,25.42,10.81,123.0
2022-02-13,site,SKU_01,477.03,0,0,27.59,10.99,130.0
2022-02-14,site,SKU_01,477.03,0,0,27.15,12.72,164.0
2022-02-15,site,SKU_01,477.03,0,0,28.31,7.52,197.0
2022-02-16,site,SKU_01,477.03,0,0,31.17,9.75,201.0
2022-02-17,site,SKU_01,477.03,0,0,26.15,8.1,174.0
2022-02-18,site,SKU_01,477.03,1,0,28.22,9.63,179.0
2022-02-19,site,SKU_01,477.03,1,0,28.47,11.33,147.0
2022-02-20,site,SKU_01,477.03,0,0,26.87,7.15,129.0
2022-02-21,site,SKU_01,477.03,0,0,30.11,6.84,158.0
2022-02-22,site,SKU_01,477.03,0,0,27.94,11.88,191.0
2022-02-23,site,SKU_01,477.03,1,0,28.33,8.06,238.0
2022-02-24,site,SKU_01,477.03,0,0,29.0,7.12,176.0
2022-02-25,site,SKU_01,477.03,0,0,33.28,13.55,137.0
2022-02-26,site,SKU_01,477.03,1,0,26.18,8.04,153.0
2022-02-27,site,SKU_01,477.03,0,0,27.57,7.81,128.0
2022-02-28,site,SKU_01,477.03,0,0,27.03,8.0,162.0
2022-03-01,site,SKU_01,478.29,0,0,28.84,5.21,198.0
2022-03-02,site,SKU_01,478.29,0,0,26.75,6.58,207.0
2022-03-03,site,SKU_01,478.29,0,0,27.02,8.09,180.0
2022-03-04,site,SKU_01,478.29,0,0,27.41,8.27,142.0
2022-03-05,site,SKU_01,478.29,1,0,28.56,8.42,145.0
2022-03-06,site,SKU_01,478.29,1,0,28.82,9.13,156.0
2022-03-07,site,SKU_01,478.29,0,0,31.17,8.87,155.0
2022-03-08,site,SKU_01,478.29,1,0,29.4,6.85,224.0
2022-03-09,site,SKU_01,478.29,0,0,33.21,11.8,184.0
2022-03-10,site,SKU_01,478.29,1,0,27.49,10.87,207.0
2022-03-11,site,SKU_01,478.29,0,0,26.39,10.19,133.0
2022-03-12,site,SKU_01,478.29,0,0,28.73,8.63,118.0
2022-03-13,site,SKU_01,478.29,0,0,29.43,7.4,133.0
2022-03-14,site,SKU_01,478.29,0,0,25.04,7.34,156.0
2022-03-15,site,SKU_01,478.29,0,0,29.02,3.9,193.0
2022-03-16,site,SKU_01,478.29,0,0,26.97,9.56,187.0
2022-03-17,site,SKU_01,478.29,0,0,27.86,6.83,172.0
2022-03-18,site,SKU_01,478.29,0,0,32.91,10.05,144.0
2022-03-19,site,SKU_01,478.29,0,0,30.61,9.18,118.0
2022-03-20,site,SKU_01,478.29,0,0,28.59,9.44,127.0
2022-03-21,site,SKU_01,478.29,0,0,29.52,9.74,159.0
2022-03-22,site,SKU_01,478.29,0,0,31.21,3.6,178.0
2022-03-23,site,SKU_01,478.29,0,0,28.98,10.28,182.0
2022-03-24,site,SKU_01,478.29,0,0,28.1,6.93,165.0
2022-03-25,site,SKU_01,478.29,0,0,30.51,9.29,125.0
2022-03-26,site,SKU_01,478.29,0,0,30.51,6.81,124.0
2022-03-27,site,SKU_01,478.29,1,0,26.26,5.25,144.0
2022-03-28,site,SKU_01,478.29,0,0,32.64,7.26,148.0
2022-03-29,site,SKU_01,478.29,0,0,31.45,8.69,178.0
2022-03-30,site,SKU_01,478.29,0,0,30.48,4.34,186.0
2022-03-31,site,SKU_01,478.29,0,0,30.69,8.34,164.0
2022-04-01,site,SKU_01,477.03,0,0,32.67,4.4,137.0
2022-04-02,site,SKU_01,477.03,0,0,31.52,5.95,120.0
2022-04-03,site,SKU_01,477.03,0,0,31.51,7.04,121.0
2022-04-04,site,SKU_01,477.03,0,0,26.39,9.25,148.0
2022-04-05,site,SKU_01,477.03,0,0,32.34,2.09,173.0
2022-04-06,site,SKU_01,477.03,0,0,28.55,6.48,184.0
2022-04-07,site,SKU_01,477.03,0,0,27.42,0.33,166.0
2022-04-08,site,SKU_01,477.03,0,0,30.78,6.86,130.0
2022-04-09,site,SKU_01,477.03,0,0,30.19,6.88,116.0
2022-04-10,site,SKU_01,477.03,0,0,28.65,4.71,125.0
2022-04-11,site,SKU_01,477.03,1,0,29.19,6.15,179.0
2022-04-12,site,SKU_01,477.03,0,0,31.38,0.52,172.0
2022-04-13,site,SKU_01,477.03,0,0,25.66,3.31,182.0
2022-04-14,site,SKU_01,477.03,0,0,30.19,7.1,161.0
2022-04-15,site,SKU_01,477.03,0,0,32.24,4.8,130.0
2022-04-16,site,SKU_01,477.03,0,0,27.11,2.55,118.0
2022-04-17,site,SKU_01,477.03,1,0,32.84,1.36,143.0
2022-04-18,site,SKU_01,477.03,0,0,30.57,4.01,151.0
2022-04-19,site,SKU_01,477.03,0,0,28.59,3.03,172.0
2022-04-20,site,SKU_01,477.03,0,0,30.41,3.69,182.0
2022-04-21,site,SKU_01,477.03,0,1,31.98,3.25,189.0
2022-04-22,site,SKU_01,477.03,0,0,28.96,6.36,130.0
2022-04-23,site,SKU_01,477.03,1,0,30.15,8.11,135.0
2022-04-24,site,SKU_01,477.03,0,0,29.76,6.09,120.0
2022-04-25,site,SKU_01,477.03,0,0,29.38,4.31,138.0
2022-04-26,site,SKU_01,477.03,1,0,25.65,1.07,210.0
2022-04-27,site,SKU_01,477.03,0,0,32.81,5.87,179.0
2022-04-28,site,SKU_01,477.03,0,0,28.54,2.72,163.0
2022-04-29,site,SKU_01,477.03,0,0,28.61,5.59,129.0
2022-04-30,site,SKU_01,477.03,0,0,33.84,3.65,112.0
2022-05-01,site,SKU_01,473.6,0,1,30.15,2.94,131.0
2022-05-02,site,SKU_01,473.6,0,0,29.82,1.1,148.0
2022-05-03,site,SKU_01,473.6,1,0,30.18,5.28,204.0
2022-05-04,site,SKU_01,473.6,0,0,29.74,2.12,170.0
2022-05-05,site,SKU_01,473.6,0,0,28.25,0.0,166.0
2022-05-06,site,SKU_01,473.6,0,0,30.4,1.05,117.0
2022-05-07,site,SKU_01,473.6,0,0,27.74,7.87,106.0
2022-05-08,site,SKU_01,473.6,0,0,29.49,0.0,119.0
2022-05-09,site,SKU_01,473.6,0,0,28.42,4.12,145.0
2022-05-10,site,SKU_01,473.6,0,0,27.27,4.27,164.0
2022-05-11,site,SKU_01,473.6,0,0,26.83,5.15,180.0
2022-05-12,site,SKU_01,473.6,0,0,27.56,5.34,156.0
2022-05-13,site,SKU_01,473.6,0,0,31.09,1.26,127.0
2022-05-14,site,SKU_01,473.6,0,0,29.01,0.0,108.0
2022-05-15,site,SKU_01,473.6,1,0,30.18,0.0,135.0
2022-05-16,site,SKU_01,473.6,0,0,26.54,2.37,141.0
2022-05-17,site,SKU_01,473.6,0,0,27.66,2.2,171.0
2022-05-18,site,SKU_01,473.6,0,0,29.05,2.53,175.0
2022-05-19,site,SKU_01,473.6,0,0,31.44,1.42,153.0
2022-05-20,site,SKU_01,473.6,0,0,25.83,0.0,126.0
2022-05-21,site,SKU_01,473.6,0,0,26.0,1.32,109.0
2022-05-22,site,SKU_01,473.6,0,0,26.13,3.39,114.0
2022-05-23,site,SKU_01,473.6,0,0,26.24,2.55,134.0
2022-05-24,site,SKU_01,473.6,0,0,27.19,1.85,167.0
2022-05-25,site,SKU_01,473.6,0,0,24.6,4.15,170.0
2022-05-26,site,SKU_01,473.6,0,0,27.78,0.0,155.0
