department,seniority,work_mode,tenure_months,salary_market_ratio,engagement_score,overtime_hours_month,manager_changes_24m,absences_last_12m,performance_score,years_since_promotion,attrition
operations,junior,hybrid,37,1.1030583096922968,0.6169651423883372,0.2542951361584316,0,8,2.5468366177850035,0.0,0
engineering,mid,hybrid,56,0.8320304439837777,0.44008216731739397,15.12217597812186,0,5,3.258740469432218,4.389726945999268,0
hr,senior,remote,137,0.7343466090549665,0.464195646060142,16.933209839903586,1,9,4.496551310224235,7.786000856223636,0
operations,junior,remote,17,1.114474132363793,1.0,15.272049424226028,0,3,4.047499758417787,0.0,0
sales,junior,hybrid,18,1.0857150890674916,0.7099051801261719,24.60730238002365,2,4,4.36021464934702,0.10353464032372628,0
finance,mid,remote,49,0.9705873465023828,0.9052044356097737,0.5238300721788551,1,3,3.4171166525360923,4.190546840517826,0
operations,senior,hybrid,96,0.8944190168624808,0.8310607166641574,6.80674124866805,0,5,3.6052359049053986,6.2844133688802515,0
hr,mid,onsite,129,0.7304083018647453,0.856648576399613,17.72913199531399,0,6,3.320452909722277,9.712095837954273,0
sales,senior,remote,90,1.0801100666567753,0.6201856676813805,16.37542991523633,0,3,2.802603482592461,7.599076923788379,0
engineering,mid,hybrid,79,1.1279202672448865,0.9812804023823061,2.1611234040394094,0,5,3.520933093315348,5.469172736481417,0
engineering,junior,hybrid,139,0.8481361357263207,0.8293374597152986,24.768768811813743,1,6,3.315203597587622,8.699671282631686,1
finance,mid,hybrid,28,0.8356100598890566,0.6682669903604607,27.888999102365727,0,2,3.107472334139161,0.5452518201533278,0
operations,junior,remote,144,1.1361592887513203,0.7126579248915219,17.830283065494186,0,8,3.978886692610764,10.489605051183915,0
hr,senior,remote,50,0.8537203305659776,0.6326535167075003,0.4183574129627283,0,4,3.59731962977075,4.248569268654306,0
engineering,junior,onsite,44,1.2168590311784573,0.6704478369732753,15.43752720849655,1,0,4.575929194923633,2.0855953363528306,0
sales,mid,remote,152,0.9336422363201434,0.6512798529826513,17.063083093244575,1,6,2.8017883413443516,8.978233048285212,0
engineering,mid,hybrid,103,0.8920157439700025,0.7363067262472982,11.553419152687948,0,6,3.1696147493683537,6.73813441558646,0
sales,mid,onsite,69,0.9567662001820094,1.0,26.12520165272992,2,4,2.0785603983100778,4.383823239777139,0
hr,mid,remote,53,0.892005239845397,0.4189571766082529,12.956552054261147,0,2,2.701618990001924,1.7193707925385109,0
operations,mid,hybrid,71,1.1189318579521523,0.8884709527017614,32.94088118650839,0,2,3.9980893542910443,2.5981632068511016,0
operations,senior,remote,126,1.082871520936308,0.5863531032577464,21.048054930801825,2,7,4.145723221394257,7.043441859608688,0
engineering,senior,hybrid,25,1.1132159439126248,0.9139326296529612,16.48472116965835,1,7,4.049273589567735,0.0,0
finance,senior,hybrid,28,0.9776779611041093,0.5933109273971682,22.28384645600378,1,10,4.533419664393443,2.5037308716280937,0
finance,mid,onsite,49,0.8815468252537455,0.7425507353080506,27.77796745818587,1,3,3.9305785817252037,1.092896421679865,0
operations,mid,remote,77,0.9486403988858401,0.6282311502409275,22.09146815699406,2,6,3.5476343890056863,5.087633788470693,0
sales,mid,remote,130,0.8861454812644588,0.3138815753243482,13.317484849845528,1,4,4.032828268339037,9.665133690786796,0
engineering,mid,onsite,34,1.169989476977444,1.0,8.060717594683648,0,4,2.8922956998327236,2.2021304086401394,0
sales,mid,remote,126,1.1003410585697901,0.4714492772956066,3.9010339646169454,1,7,2.1862755635420443,8.049188010991571,0
sales,mid,onsite,145,0.9362715399714184,0.6767765722312631,0.0,0,4,3.1869498080469754,9.134895890086618,0
operations,junior,hybrid,70,0.8110287564843094,0.44951564276498523,15.56810042267737,0,3,3.2821176754819916,4.83461167985648,0
operations,junior,hybrid,153,1.1811259532305725,0.39259966970250926,10.510973256929901,1,6,3.591453562187336,10.178622753618207,0
finance,senior,hybrid,143,0.9705026203316451,0.6190120320621736,10.992843140426071,1,6,2.8642205937025764,8.797538624635724,0
engineering,junior,hybrid,127,0.9304748809704898,0.5412977475859457,23.2597178090019,0,3,3.021750915752834,8.344080652690662,0
engineering,mid,remote,61,1.1824479079578436,0.4262369957387146,12.991347404312755,0,4,4.134189966485702,3.282667507299257,0
engineering,mid,onsite,48,0.8735076779932898,0.6529134770545629,31.055932834213113,3,9,2.5293298864899847,2.3828544711754023,0
sales,junior,onsite,138,0.9021609648005697,0.3636186553804339,8.84210151614726,2,5,3.4273275724087178,10.48745622448436,1
sales,senior,onsite,71,0.9153861577436353,0.6850947596829043,5.261439538214355,1,2,3.010285907782404,3.2033006457269484,0
engineering,junior,hybrid,6,0.7525146242537238,0.6345346362005041,2.6812726308447115,2,4,2.1557729372138086,0.0,0
sales,senior,hybrid,115,0.9973603048138922,0.16391879309974447,20.50475951927869,0,6,3.1812478202882133,7.62543545252828,0
operations,senior,hybrid,56,0.8356482882982323,0.5553780193900312,24.363374502470585,0,6,2.790087121884644,3.400414829541498,0
engineering,junior,remote,149,0.8643917401533315,0.7536820020453506,8.650445933671515,2,5,3.1721693562206488,10.026525980604971,0
hr,junior,hybrid,136,0.8443346780897504,0.447290823008696,4.4241556808579565,1,4,3.5724356415749403,10.61704258339404,0
operations,mid,hybrid,17,0.8619394695044084,0.7623584388871619,27.77248599854748,0,5,1.7684153570884638,0.0,0
engineering,mid,hybrid,144,0.8241628303976278,0.7465358419827156,0.9463830771602413,0,6,4.33398227071789,8.830358744200343,0
hr,junior,hybrid,152,0.9870821266429957,0.4564557146095591,23.091981600800235,3,3,5.0,10.270311762025607,0
hr,lead,hybrid,121,0.9266610361271428,0.657543539338803,8.861167757094401,0,4,2.7535740983702905,8.797170932704619,0
